text,label
I love this movie,1
This product is amazing,1
Fantastic customer service,1
The food was delicious,1
I am very happy with the purchase,1
Great quality and fast delivery,1
Excellent experience overall,1
This app is very useful,1
Highly recommended,1
The book was interesting,1
I enjoyed every moment,1
Amazing performance,1
The staff was friendly,1
Best purchase ever,1
Wonderful experience,1
I am satisfied,1
Very good product,1
Works perfectly,1
Outstanding quality,1
Loved it,1
I hate this service,0
Very bad experience,0
The product is terrible,0
Waste of money,0
Not worth buying,0
Poor customer support,0
I am disappointed,0
Worst experience ever,0
The app keeps crashing,0
The food was awful,0
Bad quality,0
Completely useless,0
I regret buying this,0
Very frustrating,0
The book was boring,0
The staff was rude,0
Delivery was late,0
Not satisfied,0
Terrible performance,0
It stopped working,0
Good value for money,1
Happy with the service,1
The design is beautiful,1
Very reliable product,1
The camera quality is excellent,1
Poor battery life,0
The screen is broken,0
Customer service was unhelpful,0
The software is buggy,0
Excellent battery backup,1
